"day","temp","gen","size","n","diff","surv","growth","eggs","offspring","size.offspring"
6,-1.6703215536305,"A1",-0.0301949081318777,-1.06993862069305,2.83315972222222,1,0.164715975243581,NA,NA,NA
6,-1.6703215536305,"A1",1.86534048463688,-1.06993862069305,2.83315972222222,1,0,NA,NA,NA
6,-1.6703215536305,"A1",0.119452622876181,-1.06993862069305,2.83315972222222,1,0.0117654268031131,NA,NA,NA
6,-1.6703215536305,"A2",0.219217643548221,-0.990161519241009,2.86144675925926,1,0.0116491188331466,NA,NA,NA
6,-1.6703215536305,"A2",0.019687602204142,-0.990161519241009,2.86144675925926,1,0.151438544830906,NA,NA,NA
6,-1.6703215536305,"A2",0.219217643548221,-0.990161519241009,2.86144675925926,1,0.0349473564994398,NA,NA,NA
6,-1.6703215536305,"L",-0.179842439139938,-0.73753403130953,2.90071759259259,1,-0.0689484562408727,NA,NA,NA
6,-1.6703215536305,"L",1.1669853399326,-0.73753403130953,2.90071759259259,1,0.0919312749878303,5,NA,NA
6,-1.6703215536305,"L",0.119452622876181,-0.73753403130953,2.90071759259259,0,NA,NA,NA,NA
6,-1.6703215536305,"A3",1.51616291228474,-0.936976784939645,2.91456018518519,1,0.0114368313623331,5,NA,NA
6,-1.6703215536305,"A3",0.61827772623638,-0.936976784939645,2.91456018518519,1,0.0914946508986649,NA,NA,NA
6,-1.6703215536305,"A3",1.01733780892454,-0.936976784939645,2.91456018518519,1,-0.0571841568116655,5,NA,NA
6,-1.6703215536305,"A4",1.26675036060464,-0.804014949186235,2.9243287037037,1,0.0911890193222567,2,2,-1.42690519754043
6,-1.6703215536305,"A4",-1.02784511485227,-0.804014949186235,2.9243287037037,1,0.125384901568103,NA,NA,NA
6,-1.6703215536305,"A4",-0.529020011492076,-0.804014949186235,2.9243287037037,1,0.170979411229231,NA,NA,NA
9,-1.6703215536305,"A1",0.4187476848923,-0.750830214884871,4.02945601851852,1,0.0165448304585732,NA,NA,NA
9,-1.6703215536305,"A1",-1.52667021821247,-0.750830214884871,4.02945601851852,0,NA,NA,NA,NA
9,-1.6703215536305,"A1",1.61592793295678,-0.750830214884871,4.02945601851852,1,0,5,NA,NA
9,-1.6703215536305,"A2",0.119452622876181,-0.857199683487599,4.00244212962963,1,0.0749542380086233,NA,NA,NA
9,-1.6703215536305,"A2",0.219217643548221,-0.857199683487599,4.00244212962963,1,0.0749542380086232,NA,NA,NA
9,-1.6703215536305,"A2",0.61827772623638,-0.857199683487599,4.00244212962963,1,0.0582977406733736,NA,NA,NA
9,-1.6703215536305,"L",-0.778432563172175,-0.245575239021914,3.97577546296296,1,0.11737752069099,NA,NA,NA
9,-1.6703215536305,"L",1.36651538127668,-0.245575239021914,3.97577546296296,1,0,5,NA,NA
9,-1.6703215536305,"L",-1.52667021821247,-0.245575239021914,3.97577546296296,1,0.0335364344831401,NA,NA,NA
9,-1.6703215536305,"A3",1.21686785026862,-0.604572195556121,4.00664351851852,1,-0.0083195156193128,5,NA,NA
9,-1.6703215536305,"A3",1.6658104432928,-0.604572195556121,4.00664351851852,1,-0.0582366093351898,5,NA,NA
9,-1.6703215536305,"A3",0.668160236572399,-0.604572195556121,4.00664351851852,1,0.0415975780965642,5,2,-1.77608276989257
9,-1.6703215536305,"A4",0.61827772623638,-0.710941664158848,4.01121527777778,1,0.108030435497693,NA,NA,NA
9,-1.6703215536305,"A4",-0.429254990820036,-0.710941664158848,4.01121527777778,1,0.116340468997516,NA,NA,NA
9,-1.6703215536305,"A4",0.119452622876181,-0.710941664158848,4.01121527777778,1,0.0997204019978706,NA,NA,NA
13,-1.6703215536305,"A1",0.917572788252499,-0.897088234213622,2.96347222222222,1,0.0674884004311758,NA,NA,NA
13,-1.6703215536305,"A1",1.46628040194872,-0.897088234213622,2.96347222222222,1,-0.0449922669541174,5,NA,NA
13,-1.6703215536305,"A1",-1.12761013552431,-0.897088234213622,2.96347222222222,1,0.101232600646764,NA,NA,NA
13,-1.6703215536305,"A2",-0.628785032164116,-0.657756929857484,2.97532407407407,1,0.179252182301959,NA,NA,NA
13,-1.6703215536305,"A2",1.36651538127668,-0.657756929857484,2.97532407407407,1,0.0784228297571071,5,4,NA
13,-1.6703215536305,"A2",1.01733780892454,-0.657756929857484,2.97532407407407,1,-0.0112032613938724,7,NA,NA
13,-1.6703215536305,"L",0.56839521590036,0.100125533936951,3.0394212962963,1,0.0548349999619201,NA,NA,NA
13,-1.6703215536305,"L",-1.57655272854849,0.100125533936951,3.0394212962963,NA,NA,NA,NA,NA
13,-1.6703215536305,"L",-0.129959928803918,0.100125533936951,3.0394212962963,1,0.0987029999314562,NA,NA,NA
13,-1.6703215536305,"A3",0.917572788252499,-0.59127601198078,3.03034722222222,1,0,6,NA,NA
13,-1.6703215536305,"A3",1.21686785026862,-0.59127601198078,3.03034722222222,1,0,5,NA,NA
13,-1.6703215536305,"A3",-1.67631774922053,-0.59127601198078,3.03034722222222,1,0.0769988770997089,NA,NA,NA
13,-1.6703215536305,"A4",0.71804274690842,-0.73753403130953,3.03373842592593,1,-0.0439501745417089,NA,NA,NA
13,-1.6703215536305,"A4",-0.379372480484017,-0.73753403130953,3.03373842592593,1,0.153825610895981,NA,NA,NA
13,-1.6703215536305,"A4",0.867690277916479,-0.73753403130953,3.03373842592593,1,-0.0659252618125631,3,NA,NA
16,-1.6703215536305,"A1",-0.628785032164116,-0.764126398460212,4.01416666666667,1,0.124558854058543,NA,NA,NA
16,-1.6703215536305,"A1",1.31663287094066,-0.764126398460212,4.01416666666667,1,0.0249117708117086,2,NA,NA
